M. Coronel,29,Argentina,70,RCB
R. Treacy,19,Republic of Ireland,53,GK
B. Dennehy,31,Republic of Ireland,59,LB
T. Berni,35,Italy,64,GK
O. Linnér,21,Sweden,70,GK
A. Cubas,22,Argentina,72,RCM
K. Civelek,20,Turkey,50,GK
F. Ben Youssef,27,Tunisia,67,LM
G. Díaz,28,Argentina,67,LM
A. Lang,25,Hungary,69,CB
D. Roef,24,Belgium,73,GK
M. Pietrowski,30,Poland,64,LB
M. Palmer,23,England,68,CM
J. Cuadrado,33,Colombia,76,GK
M. Busch,23,Germany,67,RB
Marco Matias,29,Portugal,68,RM
C. Charisis,23,Greece,69,CM
M. Noble,31,England,76,RCM
S. Payne,26,England,65,RS
A. Machado,33,Panama,70,CB
David Bruno,26,Portugal,67,RB
D. James,20,Wales,64,LW
L. Pisculichi,34,Argentina,73,CAM
S. Karamoko,25,France,65,RB
M. Diakhaby,21,France,77,CB
J. Morrow,30,United States,70,LB
M. Calderoni,29,Italy,68,LB
Zhang Lie,36,China PR,65,GK
M. Tomizawa,24,Japan,53,GK
A. Eastham,27,England,63,LCB
A. Tripaldelli,19,Italy,60,LB
Zhang Enge,21,China PR,50,CB
Pedro Silva,21,Portugal,65,GK
S. Old,32,New Zealand,61,CB
E. Babayan,22,Armenia,66,LM
L. Miranda,24,Argentina,72,CDM
K. Kampl,27,Slovenia,83,LCM
C. Camwell,19,England,54,LB
S. Coleman,29,Republic of Ireland,80,RWB
N. Loyola,23,Peru,65,LB
Narcisso Mau,30,Brazil,66,LB
N. Busch Thor,32,Sweden,65,CDM
Jon Erice,31,Spain,67,LDM
M. Mandorlini,29,Italy,67,CM
A. Pavlović,24,Serbia,65,ST
H. Ojamaa,27,Estonia,66,LF
S. Al Ghannam,24,Saudi Arabia,63,RB
D. Otto,19,Germany,62,ST
S. Mallan,22,Scotland,64,LCM
K. Böhnlein,28,Germany,60,CDM
J. Valencia,20,Colombia,68,CM
Álvaro Jiménez,23,Spain,74,RM
H. Bandé,19,Burkina Faso,72,LW
Juan Carlos,30,Spain,68,GK
N. Saint-Ruf,25,France,66,CB
D. Bizimana,21,Rwanda,63,LCM
O. Cissokho,31,Senegal,66,LM
Borja Domínguez,26,Spain,68,CM
F. Micolta,28,Colombia,67,ST
B. Gradecki,18,Poland,52,GK
P. Pawlett,27,Scotland,66,RM
